"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"165","Lic Housing Finance Limited","LICHSGFIN","P&F | F.A","-2.33%","547.35","25,60,978"
"201","Vesuvius India Limited","VESUVIUS","P&F | F.A","-2.33%","497","1,01,560"
"297","Aarti Industries Limited","AARTIIND","P&F | F.A","-2.34%","376.95","6,10,538"
"436","Rites Ltd","RITES","P&F | F.A","-2.36%","244.35","3,16,686"
"686","Alembic Limited","ALEMBICLTD","P&F | F.A","-2.36%","101.19","3,98,138"
"474","India Pesticides Ltd","IPL","P&F | F.A","-2.37%","213.11","3,89,173"
"609","Pudumjee Paper Products Limited","PDMJEPAPER","P&F | F.A","-2.37%","134.63","3,00,050"
"322","Rural Electrification Corporation Limited","RECLTD","P&F | F.A","-2.38%","354.9","84,66,988"
"359","Mahindra Logistics Ltd","MAHLOG","P&F | F.A","-2.42%","314.05","2,60,270"
"358","Prakash Pipes Ltd","PPL","P&F | F.A","-2.44%","314.1","61,508"
"459","Sms Pharmaceuticals Limited","SMSPHARMA","P&F | F.A","-2.44%","225.77","18,97,056"
"103","Indian Railway Catering & Tourism Corporation Ltd","IRCTC","P&F | F.A","-2.45%","699.65","16,68,258"
"480","Saksoft Limited","SAKSOFT","P&F | F.A","-2.45%","209.76","1,74,200"
"590","Ratnaveer Precision Engineering Ltd","RATNAVEER","P&F | F.A","-2.48%","142.96","90,790"
"447","Indo Count Industries Limited","ICIL","P&F | F.A","-2.49%","234.85","4,03,960"
"114","Tata Technologies Ltd","TATATECH","P&F | F.A","-2.5%","662.15","7,15,484"
"409","Spml Infra Limited","SPMLINFRA","P&F | F.A","-2.51%","266.3","3,71,321"
"29","Kirloskar Oil Engines Limited","KIRLOSENG","P&F | F.A","-2.53%","900.2","2,19,245"
"632","Jai Corp Limited","JAICORPLTD","P&F | F.A","-2.53%","119.4","8,41,812"
"692","Pnb Gilts Limited","PNBGILTS","P&F | F.A","-2.54%","99.25","6,97,965"
"154","Happiest Minds Technologies Ltd","HAPPSTMNDS","P&F | F.A","-2.55%","566.75","2,70,936"
"212","ASK Automotive Ltd","ASKAUTOLTD","P&F | F.A","-2.55%","481.05","1,08,169"
"378","Quick Heal Technologies Limited","QUICKHEAL","P&F | F.A","-2.56%","293.05","50,782"
"722","GMR Airports Ltd","GMRAIRPORT","P&F | F.A","-2.56%","86.43","1,03,80,000"
